국가유산종목,문화재명,시도명,시군구명,종목코드,시도코드,관리번호,위도,경도
국보,서울 숭례문,서울,중구,11,11,0000010000000,37.559975221378,126.975312652739
국보,서울 원각사지 십층석탑,서울,종로구,11,11,0000020000000,37.5715461695449,126.988207994364
국보,서울 북한산 신라 진흥왕 순수비,서울,용산구,11,11,0000030000000,37.5240413763397,126.980350241652
국보,여주 고달사지 승탑,경기,여주시,11,31,0000040000000,37.3939072455202,127.652160778359
국보,보은 법주사 쌍사자 석등,충북,보은군,11,33,0000050000000,36.5421679403972,127.833219375596
국보,충주 탑평리 칠층석탑,충북,충주시,11,33,0000060000000,37.0158885404695,127.866630082822
국보,천안 봉선홍경사 갈기비,충남,천안시,11,34,0000070000000,36.943151950305,127.134710477185
국보,보령 성주사지 대낭혜화상탑비,충남,보령시,11,34,0000080000000,36.3446996913308,126.655469090758
국보,부여 정림사지 오층석탑,충남,부여군,11,34,0000090000000,36.2792973520136,126.913363436976
국보,남원 실상사 백장암 삼층석탑,전북,남원시,11,35,0000100000000,35.4425391241814,127.619971568516
국보,익산 미륵사지 석탑,전북,익산시,11,35,0000110000000,36.0124223230747,127.030560529125
국보,구례 화엄사 각황전 앞 석등,전남,구례군,11,36,0000120000000,35.2571531377685,127.497444533919
국보,강진 무위사 극락보전,전남,강진군,11,36,0000130000000,34.738787662775,126.686758419185
국보,영천 거조사 영산전,경북,영천시,11,37,0000140000000,36.0200794751569,128.764535947917
국보,안동 봉정사 극락전,경북,안동시,11,37,0000150000000,36.65344383,128.662442
국보,안동 법흥사지 칠층전탑,경북,안동시,11,37,0000160000000,36.5659751219048,128.746392271242
국보,영주 부석사 무량수전 앞 석등,경북,영주시,11,37,0000170000000,36.9988050108967,128.687451710932
국보,영주 부석사 무량수전,경북,영주시,11,37,0000180000000,36.9989539877941,128.68748555042
국보,영주 부석사 조사당,경북,영주시,11,37,0000190000000,36.9996018286797,128.688515469067
국보,경주 불국사 다보탑,경북,경주시,11,37,0000200000000,35.7899698186069,129.332267999295
국보,경주 불국사 삼층석탑,경북,경주시,11,37,0000210000000,35.7899677237892,129.331984595091
국보,경주 불국사 연화교 및 칠보교,경북,경주시,11,37,0000220000000,35.7897191051224,129.331642804335
국보,경주 불국사 청운교 및 백운교,경북,경주시,11,37,0000230000000,35.7897229583531,129.332158169199
국보,경주 석굴암 석굴,경북,경주시,11,37,0000240000000,35.794852,129.349242
국보,경주 태종무열왕릉비,경북,경주시,11,37,0000250000000,35.8251335576631,129.188548279325
